hash,text,entities
fe48a1e94b6a92e8062ba4b41fc5c5421a717ae8622758e04bceb29e5c2535a7,"Дорогою зупинялися в селах , старцювали . Устимко приспівував дідам . Амфібрахій шукав підробіток .","[{""label"": ""PERS"", ""text"": ""Устимко""}, {""label"": ""PERS"", ""text"": ""Амфібрахій""}]"
7858fde68061252183080d8ac78fa4555cb2ab0b03b6391483f34235c5737e65,"То молитви продавав свої спудейські , то щось комусь косив чи рубав , а бувало , хтось приходив до діда і просив якогось зілля на лік і тоді дід , пояснивши Амфібрахію , яку саме траву треба принести , посилав його на пошуки .","[{""label"": ""PERS"", ""text"": ""Амфібрахію""}]"
dcf37203b22d51299f2dc7a08f53dce839b6d744b44e60b8e348cafa30055434,"Дуже часто дід досить точно вказував , куди саме йти і де рвати чи копати , що при тім примовити , що покласти на землю .",[]
45bd27e836b62945cd8e19096a252f2d5220f2e142072d38bf2b1f7958a0fa69,"Часом Амфібрахій , керуючись настановами старого кобзаря , знаходив траву дуже швидко , але чекав аж до заходу сонця , або доки на небі згасне остання зірка , або до іншої якої пори , — тільки тоді можна було зірвати її так , щоб вона мала силу прогнати духа хвороби .","[{""label"": ""PERS"", ""text"": ""Амфібрахій""}]"
505cc7efd0e374de9f832e6779b760c2d596b1a2b016e21f3d85f7c48dacc357,Чи вірив у все це сам Амфібрахій ?,"[{""label"": ""PERS"", ""text"": ""Амфібрахій""}]"
58de4d70ffea8e84474ce74bde6500eb9c5f49256320e883fc9711d78bb55228,"Мабуть , ні .",[]
832a94c8461dadd6f2d6f803f07b1bb01e01f0ff2d067e62141b33c28eba429c,Але так треба було зробити .,[]
91fc105be7c8e1cbc2863bb52465ad4b11ad373f5f025afdbbccbf3df3fac549,"Саме так , а не інакше .",[]
c8b8b8ac014397cd893fa20a5bc897f9b0e74fcfdc40c8f472dec5d19b361ea4,"Тож і робив , як веліли .",[]
385c5f71846ceefb4dea31392e35f5483806e9f6d0531cc319f18011bd5a07c9,"Якісь звичні трави , такі як материнка , ромашка , липовий цвіт чи полин , знали всі , тож Амфібрахій шукав у лісах ліпник та калган , прикрит і переступень , розрив-траву та адамове яблуко .","[{""label"": ""PERS"", ""text"": ""Амфібрахій""}]"
1abb89c0ff02fb3ce9f1ff2eec6a056365518e0a74af3d4eba2f013ab4190dd3,"Бувало , дід просив принести зілля так , щоб дорогою не промовити ні до кого жодного слова .",[]
3d67c02744882a8a5a04cf76cf873087071ddc0c0f82dfcc864ad20584cd32d4,І Амфібрахій мовчав .,"[{""label"": ""PERS"", ""text"": ""Амфібрахій""}]"
8fcd56b6c9a219abb6cffb918bc841406d0dcb28845a36af0efb1c57b38fcda0,"Шукав якісь потаємні стежки , аби менше зустрічатися з людьми , а коли не витримував і все-таки говорив з кимось , вертався назад і починав усе наново .",[]
7474e2691359f0d8fe645287869ef2d84f311cd98d97e0819a1eb472554cc039,"Дід би все одно ніколи не дізнався , говорив він із кимось чи ні , але дурити сліпого ... не по-людському .",[]
9a07a864b27d55c45b7f0e7c396ecd3179735aac6caeecf99199015073a491d1,Та основним заробком Амфібрахія у цю пору була допомога на жнивах .,"[{""label"": ""PERS"", ""text"": ""Амфібрахія""}]"
bc9d80d48ede0c2affd5f5c044fcf520c1ee444deeb59a8205828cc2f1bbcdc4,"Люди були зайняті в полі , і не було їм часу зараз слухати кобзарські псальми , думи та пісні .",[]
1b6f7c73f816ce1ade661a3f5a30e0922d48484cea8aaee258c1d6b77dccddd9,"Зупинялися в селах на кілька днів , діди більше відпочивали й розмовляли , Устимко гасав із ровесниками , десь комусь щось допомагав , а вечорами старці йшли по хатах чи в поле до жниварів , які часто там і залишалися на ночівлю , і співали для них .","[{""label"": ""PERIOD"", ""text"": ""кілька днів""}, {""label"": ""PERS"", ""text"": ""Устимко""}]"
