hash,text,entities,pred
06005a1e39f158840d68b43dd767b3e03e0f0b628375833bb5cb06065d6fef87,"Вивчали хімічний режим підземних вод , які використовуються для напування тварин у західній біогеохімічній зоні України .","[{""label"": ""LOC"", ""text"": ""України""}]","[{""label"": ""LOC"", ""text"": ""західній біогеохімічній зоні України""}, {""label"": ""LOC"", ""text"": ""України""}]"
14a3cee520d11383f027f1b004994f79a1f79e9f2d857891facfd0772f94401f,За органолептичними показниками та хімічним складом вони відповідають чинним вимогам .,[],[]
c4714c4e85fe3597c5cc78bb51f6736ce5ce5a334ed1dd8e9b3f059d6dbad0e1,"Проте у воді досліджуваних господарств виявили меркурій , що досить небезпечно , а вміст феруму та мангану перевищував нормативні величини втричі .",[],[]
54594a73848e56c48f98bf9cd781b4eada346b03e87fc45064c1482ae660bf2b,Вода - важлива складова всього живого на Землі .,"[{""label"": ""LOC"", ""text"": ""Землі""}]","[{""label"": ""LOC"", ""text"": ""Землі""}]"
8ee875c6a6ebfa66865e4d10b9779f52ecf0111a00c6ec26a94d3a3ba1ccdaed,Вона входить до складу органів і тканин тварин .,[],[]
f3616e35597951ea731545ec2a4a151816aff4930104104da23fb4615988aefe,Вода становить у середньому 75 % маси тіла ссавців .,"[{""label"": ""PCT"", ""text"": ""75 %""}]",[]
80361ed260f6cc9123b715eb8c351995fc887405ed306d722fcf7ee75d1dce67,"Усі біохімічні реакції , що лежать в основі життя , відбуваються за її безпосередньої участі .",[],[]
8c1df9ad004f27103d825ea370bfd554636bada1c6c78be88e0f3e97ef74ef04,"Вода в крові й тканинній рідині бере участь у транспорті речовин між клітинами й органами , регулює осмотичний тиск , підтримує температурний гомеостаз , виводить продукти обміну з організму .",[],[]
e21593958fd648f61349b0d772890e2fbc17261b08c5337227f4a452a9f9af9f,"Хімічний склад води здебільшого свідчить про хімічний склад середовища , в якому вона перебуває .",[],[]
c23ded8a2289d953a32fde1659633fad053d1c691deb6c17c7273ebb6516530c,"Як надлишок , так і нестача мінеральних солей у водному середовищі ( зокрема мікроелементів ) дають початок біогеохімічним ензоотіям .",[],[]
697dc2a90e80e8320ad2264f382e650ce61db1b206438d48d29d684cbb9c7fed,"За академіком В . І . Вернадським , природні води належать до складних водних розчинів .","[{""label"": ""JOB"", ""text"": ""академіком""}, {""label"": ""PERS"", ""text"": ""В . І . Вернадським""}]","[{""label"": ""PERS"", ""text"": ""Вернадським""}]"
2de8204dc994778019917770f76b363707ff9f05de2fb98e1bc0beac20f792ce,"До них входять макро - й мікроелементи , гази , органічні речовини , мікроорганізми .",[],[]
9856cda8e0b37104d88632cb6586d8db07f937195627f2b9feca85b2864bc5f6,"Зокрема нині в підземних водах виділено 85 ( зі 105 ) хімічних елементів таблиці Д . І . Менделєєва , які характеризують загальний хімічний стан води , її властивості та визначають наукове й практичне значення .","[{""label"": ""PERS"", ""text"": ""Д . І . Менделєєва""}]","[{""label"": ""ORG"", ""text"": "". І . Менделєєва""}]"
e3ea19f41dc604d18635aba7d961eac205def8b2226148bfe88c21be5beedf57,"Є три основні джерела постачання тварин водою - поверхневі відкриті водойми , підземні ґрунтові й напірні ( артезіанські ) води , атмосферні опади .",[],[]
e36f68eadee03bd453b3e4fb640735b51964d38473aa6769cc0bbf9b89dd4611,"Слід також зазначити , що ресурси підземних вод на території України розміщені нерівномірно .","[{""label"": ""LOC"", ""text"": ""України""}]","[{""label"": ""LOC"", ""text"": ""України""}]"
19bbf9345ab034738f5ca526de46118db4d71121a2bc7c1ae01851374dc20acc,"Найбільше їх зосереджено в північних та західних областях України – Волинській , Київській , Львівській , Рівненській , Чернігівській .","[{""label"": ""LOC"", ""text"": ""України""}, {""label"": ""LOC"", ""text"": ""Волинській""}, {""label"": ""LOC"", ""text"": ""Київській""}, {""label"": ""LOC"", ""text"": ""Львівській""}, {""label"": ""LOC"", ""text"": ""Рівненській""}, {""label"": ""LOC"", ""text"": ""Чернігівській""}]","[{""label"": ""LOC"", ""text"": ""України""}, {""label"": ""LOC"", ""text"": ""Волинській""}, {""label"": ""LOC"", ""text"": ""Київській""}, {""label"": ""LOC"", ""text"": ""Львівській""}, {""label"": ""LOC"", ""text"": ""Чернігівській""}]"
a2baf02f680890e592720b5493a10a3594529b6ae05cc455a29451bcb13d1fd6,Потужні запаси невикористаних водних ресурсів є в Харківській області .,"[{""label"": ""LOC"", ""text"": ""Харківській області""}]","[{""label"": ""LOC"", ""text"": ""Харківській області""}]"
8e8718bf3a4056f870ec381c909268f4b6c860e98238a5e0320e5a1a618994ad,У попередніх публікаціях ми описували санітарно-гігієнічну характеристику якості води для напування тварин у господарствах західної біогеохімічної зони України .,"[{""label"": ""LOC"", ""text"": ""України""}]","[{""label"": ""LOC"", ""text"": ""України""}]"
c54f800b08c6fca959b0b5f75ef39899b6e0581282406e9583ee47fe02d5776e,"Слід узяти до уваги той факт , що сучасні технології ведення тваринництва вимагають детальнішого вивчення чинників , які б сприяли отриманню якісної й доступної продукції ( молока , м’яса ) та забезпечували нормальний фізіологічний розвиток тварин і їх відтворення .",[],[]
b5d72181dedf83b320a1af0c1bf9b0cb38d03fc9ca3893439a34fa38d1ac788c,"На нашу думку , одним з основних критеріїв якості й безпечності продукції тваринництва є саме вода .",[],[]
